TICKER;DATE;OPEN;HIGH;LOW;CLOSE;VOL;WAPRICE;NOMINAL
EUR;2016-12-22;;;;63.6086;;;1
GBP;2016-12-22;;;;75.4943;;;1
HUF;2016-12-22;;;;20.4604;;;100
INR;2016-12-22;;;;90.0253;;;100
JPY;2016-12-22;;;;51.957;;;100
KGS;2016-12-22;;;;88.4039;;;100
KRW;2016-12-22;;;;51.141;;;1000
KZT;2016-12-22;;;;18.3492;;;100
MDL;2016-12-22;;;;30.1699;;;10
NOK;2016-12-22;;;;70.3853;;;10
PLN;2016-12-22;;;;14.4302;;;1
RON;2016-12-22;;;;14.0889;;;1
SEK;2016-12-22;;;;65.4491;;;10
SGD;2016-12-22;;;;42.3047;;;1
TJS;2016-12-22;;;;77.4515;;;10
TMT;2016-12-22;;;;17.541;;;1
TRY;2016-12-22;;;;17.42;;;1
UAH;2016-12-22;;;;23.1255;;;10
USD;2016-12-22;;;;61.1092;;;1
UZS;2016-12-22;;;;19.0668;;;1000
XDR;2016-12-22;;;;81.7281;;;1
ZAR;2016-12-22;;;;43.7119;;;10
AMD;2016-12-23;;;;12.6537;;;100
AUD;2016-12-23;;;;43.9439;;;1
AZN;2016-12-23;;;;34.0346;;;1
BGN;2016-12-23;;;;32.5025;;;1
BRL;2016-12-23;;;;18.294;;;1
BYN;2016-12-23;;;;31.2765;;;1
CAD;2016-12-23;;;;45.2824;;;1
CHF;2016-12-23;;;;59.368;;;1
CNY;2016-12-23;;;;87.6158;;;10
CZK;2016-12-23;;;;23.5251;;;10
DKK;2016-12-23;;;;85.5097;;;10
